TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 5
Start Date:,06/16/2022
Start Time:,01:25:16
Duration (dd:hh:mm:ss):,00:00:17:57
Log Interval (mm:ss):,00:01
Number of points:,1077
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.081
,Minimum:,0.051
,Time of Minimum:,01:31:15
,Date of Minimum:,06/16/2022
,Maximum:,0.133
,Time of Maximum:,01:37:40
,Date of Maximum:,06/16/2022

,TWA:,0.003

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/16/2022
06/16/2022,13:36:08,0.100
06/16/2022,13:36:09,0.097
06/16/2022,13:36:10,0.085
06/16/2022,13:36:11,0.088
06/16/2022,13:36:12,0.095
06/16/2022,13:36:13,0.086
06/16/2022,13:36:14,0.101
06/16/2022,13:36:15,0.091
06/16/2022,13:36:16,0.091
06/16/2022,13:36:17,0.086
06/16/2022,13:36:18,0.093
06/16/2022,13:36:19,0.090
06/16/2022,13:36:20,0.084
06/16/2022,13:36:21,0.087
06/16/2022,13:36:22,0.084
06/16/2022,13:36:23,0.096
06/16/2022,13:36:24,0.090
06/16/2022,13:36:25,0.092
06/16/2022,13:36:26,0.088
06/16/2022,13:36:27,0.081
06/16/2022,13:36:28,0.095
06/16/2022,13:36:29,0.088
06/16/2022,13:36:30,0.088
06/16/2022,13:36:31,0.090
06/16/2022,13:36:32,0.090
06/16/2022,13:36:33,0.101
06/16/2022,13:36:34,0.098
06/16/2022,13:36:35,0.099
06/16/2022,13:36:36,0.101
06/16/2022,13:36:37,0.086
06/16/2022,13:36:38,0.090
06/16/2022,13:36:39,0.097
06/16/2022,13:36:40,0.095
06/16/2022,13:36:41,0.092
06/16/2022,13:36:42,0.088
06/16/2022,13:36:43,0.087
06/16/2022,13:36:44,0.090
06/16/2022,13:36:45,0.083
06/16/2022,13:36:46,0.084
