TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201943009
Test Name:,Test 1
Start Date:,06/13/2022
Start Time:,09:04:06
Duration (dd:hh:mm:ss):,00:00:14:57
Log Interval (mm:ss):,00:01
Number of points:,897
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.058
,Minimum:,0.044
,Time of Minimum:,09:12:01
,Date of Minimum:,06/13/2022
,Maximum:,0.104
,Time of Maximum:,09:17:17
,Date of Maximum:,06/13/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,0.38
,Cal date:,06/13/2022
06/13/2022,09:07:59,0.058
06/13/2022,09:08:00,0.057
06/13/2022,09:08:01,0.054
06/13/2022,09:08:02,0.053
06/13/2022,09:08:03,0.064
06/13/2022,09:08:04,0.068
06/13/2022,09:08:05,0.058
06/13/2022,09:08:06,0.065
06/13/2022,09:08:07,0.052
06/13/2022,09:08:08,0.056
06/13/2022,09:08:09,0.054
06/13/2022,09:08:10,0.051
06/13/2022,09:08:11,0.050
06/13/2022,09:08:12,0.056
06/13/2022,09:08:13,0.050
06/13/2022,09:08:14,0.056
06/13/2022,09:08:15,0.063
06/13/2022,09:08:16,0.053
06/13/2022,09:08:17,0.055
06/13/2022,09:08:18,0.055
06/13/2022,09:08:19,0.062
06/13/2022,09:08:20,0.048
06/13/2022,09:08:21,0.055
06/13/2022,09:08:22,0.064
06/13/2022,09:08:23,0.051
06/13/2022,09:08:24,0.060
06/13/2022,09:08:25,0.054
06/13/2022,09:08:26,0.056
06/13/2022,09:08:27,0.054
06/13/2022,09:08:28,0.053
06/13/2022,09:08:29,0.058
06/13/2022,09:08:30,0.061
06/13/2022,09:08:31,0.053
06/13/2022,09:08:32,0.062
06/13/2022,09:08:33,0.058
06/13/2022,09:08:34,0.063
06/13/2022,09:08:35,0.054
06/13/2022,09:08:36,0.062
06/13/2022,09:08:37,0.051
06/13/2022,09:08:38,0.060
06/13/2022,09:08:39,0.053
06/13/2022,09:08:40,0.061
06/13/2022,09:08:41,0.055
06/13/2022,09:08:42,0.062
06/13/2022,09:08:43,0.053
06/13/2022,09:08:44,0.063
06/13/2022,09:08:45,0.054
06/13/2022,09:08:46,0.059
06/13/2022,09:08:47,0.059
06/13/2022,09:08:48,0.071
06/13/2022,09:08:49,0.056
06/13/2022,09:08:50,0.058
06/13/2022,09:08:51,0.055
06/13/2022,09:08:52,0.053
06/13/2022,09:08:53,0.075
06/13/2022,09:08:54,0.067
06/13/2022,09:08:55,0.052
06/13/2022,09:08:56,0.063
06/13/2022,09:08:57,0.044
06/13/2022,09:08:58,0.055
06/13/2022,09:08:59,0.057
06/13/2022,09:09:00,0.052
06/13/2022,09:09:01,0.055
06/13/2022,09:09:02,0.062
06/13/2022,09:09:03,0.056
06/13/2022,09:09:04,0.056
06/13/2022,09:09:05,0.053
06/13/2022,09:09:06,0.061
06/13/2022,09:09:07,0.060
06/13/2022,09:09:08,0.054
06/13/2022,09:09:09,0.054
06/13/2022,09:09:10,0.054
06/13/2022,09:09:11,0.058
06/13/2022,09:09:12,0.054
06/13/2022,09:09:13,0.054
06/13/2022,09:09:14,0.051
06/13/2022,09:09:15,0.056
06/13/2022,09:09:16,0.053
06/13/2022,09:09:17,0.053
06/13/2022,09:09:18,0.053
06/13/2022,09:09:19,0.068
06/13/2022,09:09:20,0.072
06/13/2022,09:09:21,0.070
06/13/2022,09:09:22,0.060
06/13/2022,09:09:23,0.061
06/13/2022,09:09:24,0.058
06/13/2022,09:09:25,0.054
06/13/2022,09:09:26,0.056
06/13/2022,09:09:27,0.062
06/13/2022,09:09:28,0.048
06/13/2022,09:09:29,0.047
